DATE,CLIENT_ID,CLIENT_SIZE,INDUSTRY,STATE,PRODUCT,NUM_LICENSE,PRICE_PER_LICENSE,CSat
1/2/14,9761603,500+,IT,NJ,A,26,770,6
1/2/14,4856499,500+,HEALTH CARE,TX,A,15,930,7
1/2/14,5855785,0-19,IT,MN,A,1,980,5
1/2/14,4095393,20-99,IT,NJ,B,4,500,9
1/2/14,8152678,0-19,IT,PA,D,3,768,6
1/2/14,2247478,20-99,IT,CA,A,7,930,5
1/2/14,4636427,500+,IT,MA,A,15,930,7
1/2/14,5255432,20-99,RETAIL,PA,D,9,776,7
1/2/14,9033836,0-19,IT,CA,D,2,792,4
1/2/14,4046445,20-99,IT,PA,A,4,970,7
1/2/14,2641817,0-19,RETAIL,VA,D,3,768,5
1/2/14,7365643,20-99,REAL ESTATE,IN,D,8,736,6
1/2/14,1697736,100-499,IT,NJ,D,13,752,7
1/2/14,1176708,100-499,FINANCE,CA,A,5,986,10
1/2/14,9880132,0-19,RETAIL,PA,B,3,485,5
1/2/14,8996106,20-99,IT,GA,A,9,920,7
1/2/14,1077551,100-499,IT,CA,C,8,546,7
1/3/14,1131923,0-19,FINANCE,CO,D,2,793.6,9
1/3/14,1560903,0-19,FINANCE,IL,A,3,992,8
1/3/14,9086384,0-19,IT,FL,B,1,480,4
1/3/14,2817211,20-99,RETAIL,PA,D,9,760,8
1/3/14,5966930,0-19,RETAIL,CO,B,3,490,7
1/3/14,8192432,20-99,RETAIL,TX,D,10,776,7
1/3/14,5420736,100-499,RETAIL,FL,B,14,435,5
1/3/14,9903047,100-499,RETAIL,VA,A,5,950,7
1/3/14,8864836,0-19,IT,NJ,A,3,970,4
1/6/14,2680222,500+,RETAIL,GA,A,24,770,
1/6/14,9085191,100-499,RETAIL,TX,D,6,760,8
1/6/14,6774723,0-19,IT,CA,A,2,1000,7
1/6/14,9672152,0-19,FINANCE,MA,A,3,996,4
1/6/14,8879449,0-19,IT,TX,D,2,800,9
1/6/14,9873266,0-19,FINANCE,NJ,D,1,800,10
1/6/14,9028627,0-19,FINANCE,TX,B,2,500,3
1/6/14,2744645,20-99,REAL ESTATE,NY,D,14,744,6
1/6/14,8574312,100-499,REAL ESTATE,TX,D,6,728,
1/6/14,8141398,0-19,IT,NY,A,4,960,4
1/6/14,9493216,100-499,REAL ESTATE,CO,B,6,460,
1/6/14,1712364,20-99,IT,MI,A,5,950,5
